t,plant,axis,phytomer
138.000000,1,MS,5
138.000000,1,MS,6
139.000000,1,MS,1
139.000000,1,MS,2
139.000000,1,MS,3
139.000000,1,MS,4
139.000000,1,MS,5
139.000000,1,MS,6
140.000000,1,MS,1
140.000000,1,MS,2
140.000000,1,MS,3
140.000000,1,MS,4
140.000000,1,MS,5
140.000000,1,MS,6
141.000000,1,MS,1
141.000000,1,MS,2
141.000000,1,MS,3
141.000000,1,MS,4
141.000000,1,MS,5
141.000000,1,MS,6
142.000000,1,MS,1
142.000000,1,MS,2
142.000000,1,MS,3
142.000000,1,MS,4
142.000000,1,MS,5
142.000000,1,MS,6
143.000000,1,MS,1
143.000000,1,MS,2
143.000000,1,MS,3
143.000000,1,MS,4
143.000000,1,MS,5
143.000000,1,MS,6
144.000000,1,MS,1
144.000000,1,MS,2
144.000000,1,MS,3
144.000000,1,MS,4
144.000000,1,MS,5
144.000000,1,MS,6
145.000000,1,MS,1
145.000000,1,MS,2
145.000000,1,MS,3
145.000000,1,MS,4
145.000000,1,MS,5
145.000000,1,MS,6
146.000000,1,MS,1
146.000000,1,MS,2
146.000000,1,MS,3
146.000000,1,MS,4
146.000000,1,MS,5
146.000000,1,MS,6
147.000000,1,MS,1
147.000000,1,MS,2
147.000000,1,MS,3
147.000000,1,MS,4
147.000000,1,MS,5
147.000000,1,MS,6
148.000000,1,MS,1
148.000000,1,MS,2
148.000000,1,MS,3
148.000000,1,MS,4
148.000000,1,MS,5
148.000000,1,MS,6
149.000000,1,MS,1
149.000000,1,MS,2
149.000000,1,MS,3
149.000000,1,MS,4
149.000000,1,MS,5
149.000000,1,MS,6
150.000000,1,MS,1
150.000000,1,MS,2
150.000000,1,MS,3
150.000000,1,MS,4
150.000000,1,MS,5
150.000000,1,MS,6
151.000000,1,MS,1
151.000000,1,MS,2
151.000000,1,MS,3
151.000000,1,MS,4
151.000000,1,MS,5
151.000000,1,MS,6
152.000000,1,MS,1
152.000000,1,MS,2
152.000000,1,MS,3
152.000000,1,MS,4
152.000000,1,MS,5
152.000000,1,MS,6
153.000000,1,MS,1
153.000000,1,MS,2
153.000000,1,MS,3
153.000000,1,MS,4
153.000000,1,MS,5
153.000000,1,MS,6
154.000000,1,MS,1
154.000000,1,MS,2
154.000000,1,MS,3
154.000000,1,MS,4
154.000000,1,MS,5
154.000000,1,MS,6
155.000000,1,MS,1
155.000000,1,MS,2
155.000000,1,MS,3
155.000000,1,MS,4
155.000000,1,MS,5
155.000000,1,MS,6
156.000000,1,MS,1
156.000000,1,MS,2
156.000000,1,MS,3
156.000000,1,MS,4
156.000000,1,MS,5
156.000000,1,MS,6
157.000000,1,MS,1
157.000000,1,MS,2
157.000000,1,MS,3
157.000000,1,MS,4
157.000000,1,MS,5
157.000000,1,MS,6
158.000000,1,MS,1
158.000000,1,MS,2
158.000000,1,MS,3
158.000000,1,MS,4
158.000000,1,MS,5
158.000000,1,MS,6
159.000000,1,MS,1
159.000000,1,MS,2
159.000000,1,MS,3
159.000000,1,MS,4
159.000000,1,MS,5
159.000000,1,MS,6
160.000000,1,MS,1
160.000000,1,MS,2
160.000000,1,MS,3
160.000000,1,MS,4
160.000000,1,MS,5
160.000000,1,MS,6
161.000000,1,MS,1
161.000000,1,MS,2
161.000000,1,MS,3
161.000000,1,MS,4
161.000000,1,MS,5
161.000000,1,MS,6
162.000000,1,MS,1
162.000000,1,MS,2
162.000000,1,MS,3
162.000000,1,MS,4
162.000000,1,MS,5
162.000000,1,MS,6
163.000000,1,MS,1
163.000000,1,MS,2
