t,plant,axis,volume,Tsoil,nitrates,Conc_Nitrates_Soil
312.000000,1,MS,1.000000,15.000000,702.496661,702.496661
313.000000,1,MS,1.000000,15.000000,662.501332,662.501332
314.000000,1,MS,1.000000,15.000000,624.634604,624.634604
315.000000,1,MS,1.000000,15.000000,588.799969,588.799969
316.000000,1,MS,1.000000,15.000000,554.890784,554.890784
317.000000,1,MS,1.000000,15.000000,522.819291,522.819291
318.000000,1,MS,1.000000,15.000000,492.488838,492.488838
319.000000,1,MS,1.000000,15.000000,463.813785,463.813785
320.000000,1,MS,1.000000,15.000000,436.701881,436.701881
321.000000,1,MS,1.000000,15.000000,411.081381,411.081381
322.000000,1,MS,1.000000,15.000000,386.873660,386.873660
323.000000,1,MS,1.000000,15.000000,364.005991,364.005991
324.000000,1,MS,1.000000,15.000000,342.401219,342.401219
325.000000,1,MS,1.000000,15.000000,321.998450,321.998450
326.000000,1,MS,1.000000,15.000000,302.732089,302.732089
327.000000,1,MS,1.000000,15.000000,284.546276,284.546276
328.000000,1,MS,1.000000,15.000000,267.381312,267.381312
329.000000,1,MS,1.000000,15.000000,251.187509,251.187509
330.000000,1,MS,1.000000,15.000000,235.911746,235.911746
331.000000,1,MS,1.000000,15.000000,221.511319,221.511319
332.000000,1,MS,1.000000,15.000000,207.940074,207.940074
333.000000,1,MS,1.000000,15.000000,195.157142,195.157142
334.000000,1,MS,1.000000,15.000000,183.119079,183.119079
335.000000,1,MS,1.000000,15.000000,171.787089,171.787089
336.000000,1,MS,1.000000,15.000000,161.120544,161.120544
337.000000,1,MS,1.000000,15.000000,151.085926,151.085926
338.000000,1,MS,1.000000,15.000000,141.647823,141.647823
339.000000,1,MS,1.000000,15.000000,132.774402,132.774402
340.000000,1,MS,1.000000,15.000000,124.432561,124.432561
341.000000,1,MS,1.000000,15.000000,116.593398,116.593398
342.000000,1,MS,1.000000,15.000000,109.227024,109.227024
343.000000,1,MS,1.000000,15.000000,102.305918,102.305918
344.000000,1,MS,1.000000,15.000000,95.802104,95.802104
345.000000,1,MS,1.000000,15.000000,89.691279,89.691279
346.000000,1,MS,1.000000,15.000000,83.948757,83.948757
347.000000,1,MS,1.000000,15.000000,78.554129,78.554129
348.000000,1,MS,1.000000,15.000000,73.486450,73.486450
